topic,year,pubs,cites
Global Energy Security and Policy,2010,2,49
Global Energy Security and Policy,2011,5,19
Global Energy Security and Policy,2012,4,10
Global Energy Security and Policy,2013,2,15
Global Energy Security and Policy,2014,1,1
Global Energy Security and Policy,2018,2,24
Global Energy Security and Policy,2020,1,4
Global Energy Security and Policy,2022,1,0
Global Energy Security and Policy,2023,1,3
Global Energy Security and Policy,2025,1,0
Global Maritime and Colonial Histories,1999,1,1
Global Maritime and Colonial Histories,2000,2,3
Global Political and Economic Relations,2019,1,5
Global Trade and Competitiveness,2009,1,0
Global Trade and Competitiveness,2018,1,0
Global Trade and Competitiveness,2022,2,2
Global trade and economics,2009,1,0
GNSS positioning and interference,2019,1,0
GNSS positioning and interference,2023,1,4
Gold and Silver Nanoparticles Synthesis and Applications,2011,1,15
Gold and Silver Nanoparticles Synthesis and Applications,2019,2,80
Granular flow and fluidized beds,1986,2,720
Granular flow and fluidized beds,1998,1,36
Granular flow and fluidized beds,2002,1,1
Granular flow and fluidized beds,2004,4,147
Granular flow and fluidized beds,2005,5,220
Granular flow and fluidized beds,2006,1,0
Granular flow and fluidized beds,2007,2,72
Granular flow and fluidized beds,2008,4,141
Granular flow and fluidized beds,2009,6,179
Granular flow and fluidized beds,2010,1,69
Granular flow and fluidized beds,2011,2,51
Granular flow and fluidized beds,2012,1,16
Granular flow and fluidized beds,2013,4,71
Granular flow and fluidized beds,2014,6,47
Granular flow and fluidized beds,2015,2,60
Granular flow and fluidized beds,2016,2,14
Granular flow and fluidized beds,2017,2,4
Granular flow and fluidized beds,2018,1,1
Granular flow and fluidized beds,2019,3,4
Granular flow and fluidized beds,2020,3,32
Granular flow and fluidized beds,2022,1,12
Granular flow and fluidized beds,2024,2,3
Granular flow and fluidized beds,2025,3,3
Graph theory and applications,2023,1,1
Graph theory and applications,2025,1,0
graph theory and CDMA systems,2022,1,0
Graphene and Nanomaterials Applications,2010,1,115
Graphene and Nanomaterials Applications,2012,1,8
Graphene and Nanomaterials Applications,2013,2,30
Graphene and Nanomaterials Applications,2016,1,103
Graphene and Nanomaterials Applications,2017,1,25
Graphene and Nanomaterials Applications,2019,3,37
Graphene and Nanomaterials Applications,2020,1,14
Graphene and Nanomaterials Applications,2025,3,0
Graphene research and applications,2006,1,12
Graphene research and applications,2009,1,30
Graphene research and applications,2019,1,27
Graphene research and applications,2020,2,67
Graphene research and applications,2021,2,46
Graphene research and applications,2023,2,21
Graphene research and applications,2024,2,3
Graphene research and applications,2025,2,0
Graphene research and applications,2026,1,0
"Graphite, nuclear technology, radiation studies",2013,1,2
"Graphite, nuclear technology, radiation studies",2017,2,1
"Graphite, nuclear technology, radiation studies",2024,2,8
"Graphite, nuclear technology, radiation studies",2025,3,1
Grey System Theory Applications,2021,1,10
Groundwater and Isotope Geochemistry,1991,1,12
Groundwater and Isotope Geochemistry,2005,1,3
Groundwater and Isotope Geochemistry,2006,2,157
Groundwater and Isotope Geochemistry,2007,1,2
Groundwater and Isotope Geochemistry,2008,2,42
Groundwater and Isotope Geochemistry,2009,1,158
Groundwater and Isotope Geochemistry,2010,1,52
Groundwater and Isotope Geochemistry,2011,2,131
Groundwater and Isotope Geochemistry,2012,2,26
Groundwater and Isotope Geochemistry,2014,2,24
Groundwater and Isotope Geochemistry,2015,2,0
Groundwater and Isotope Geochemistry,2016,6,135
Groundwater and Isotope Geochemistry,2017,3,63
Groundwater and Isotope Geochemistry,2019,2,5
Groundwater and Isotope Geochemistry,2020,2,24
Groundwater and Isotope Geochemistry,2021,6,227
Groundwater and Isotope Geochemistry,2022,7,111
Groundwater and Isotope Geochemistry,2023,6,110
Groundwater and Isotope Geochemistry,2024,16,195
Groundwater and Isotope Geochemistry,2025,9,11
Groundwater and Isotope Geochemistry,2026,1,0
Groundwater and Watershed Analysis,2005,2,43
Groundwater and Watershed Analysis,2006,1,105
Groundwater and Watershed Analysis,2008,1,21
Groundwater and Watershed Analysis,2010,1,52
Groundwater and Watershed Analysis,2012,1,7
Groundwater and Watershed Analysis,2015,1,7
Groundwater and Watershed Analysis,2016,5,121
Groundwater and Watershed Analysis,2017,3,17
Groundwater and Watershed Analysis,2018,3,39
Groundwater and Watershed Analysis,2019,4,32
Groundwater and Watershed Analysis,2021,3,71
Groundwater and Watershed Analysis,2022,4,86
Groundwater and Watershed Analysis,2023,4,52
Groundwater and Watershed Analysis,2024,10,31
Groundwater and Watershed Analysis,2025,1,0
Groundwater flow and contamination studies,2002,1,14
Groundwater flow and contamination studies,2005,2,43
Groundwater flow and contamination studies,2006,3,89
Groundwater flow and contamination studies,2007,1,2
Groundwater flow and contamination studies,2008,2,42
Groundwater flow and contamination studies,2009,2,20
Groundwater flow and contamination studies,2010,1,52
Groundwater flow and contamination studies,2011,1,20
Groundwater flow and contamination studies,2012,5,84
Groundwater flow and contamination studies,2013,2,31
Groundwater flow and contamination studies,2014,4,41
Groundwater flow and contamination studies,2015,4,186
Groundwater flow and contamination studies,2016,9,299
Groundwater flow and contamination studies,2017,5,95
Groundwater flow and contamination studies,2018,12,153
Groundwater flow and contamination studies,2019,19,334
Groundwater flow and contamination studies,2020,20,559
Groundwater flow and contamination studies,2021,21,1310
Groundwater flow and contamination studies,2022,15,259
Groundwater flow and contamination studies,2023,15,181
Groundwater flow and contamination studies,2024,15,116
Groundwater flow and contamination studies,2025,17,32
"Grouting, Rheology, and Soil Mechanics",2006,1,0
"Grouting, Rheology, and Soil Mechanics",2012,1,31
"Grouting, Rheology, and Soil Mechanics",2013,1,0
"Grouting, Rheology, and Soil Mechanics",2014,1,44
"Grouting, Rheology, and Soil Mechanics",2015,1,6
"Grouting, Rheology, and Soil Mechanics",2017,1,63
"Grouting, Rheology, and Soil Mechanics",2018,5,115
"Grouting, Rheology, and Soil Mechanics",2019,10,173
"Grouting, Rheology, and Soil Mechanics",2020,7,268
"Grouting, Rheology, and Soil Mechanics",2021,6,61
"Grouting, Rheology, and Soil Mechanics",2022,4,30
"Grouting, Rheology, and Soil Mechanics",2023,3,3
"Grouting, Rheology, and Soil Mechanics",2024,5,9
"Grouting, Rheology, and Soil Mechanics",2025,7,2
"Grouting, Rheology, and Soil Mechanics",2026,2,0
Head and Neck Cancer Studies,2024,1,1
Head and Neck Surgical Oncology,2013,1,16
Head and Neck Surgical Oncology,2017,1,5
Health and Well-being Studies,2025,1,0
"Health, Medicine and Society",1990,1,0
"Health, Medicine and Society",1991,2,0
"Health, Medicine and Society",1995,2,9
"Health, Medicine and Society",1996,2,0
"Health, Medicine and Society",1997,3,14
"Health, Medicine and Society",1998,1,0
"Health, Medicine and Society",2003,1,0
"Health, Medicine and Society",2004,2,0
"Health, Medicine and Society",2005,1,0
"Health, Medicine and Society",2007,1,1
"Health, Medicine and Society",2010,1,0
"Health, Medicine and Society",2012,2,2
"Health, Medicine and Society",2013,2,2
"Health, Medicine and Society",2014,1,0
"Health, Medicine and Society",2016,1,0
"Health, Medicine and Society",2021,1,0
"Health, Medicine and Society",2022,4,1
Healthcare and Environmental Waste Management,2024,1,0
Healthcare Operations and Scheduling Optimization,2010,1,0
Healthcare Operations and Scheduling Optimization,2012,1,8
Healthcare Quality and Satisfaction,2015,1,0
Healthcare Technology and Patient Monitoring,2017,1,13
Heart Failure Treatment and Management,2025,1,0
Heat and Mass Transfer in Porous Media,2014,1,0
Heat and Mass Transfer in Porous Media,2015,1,20
Heat and Mass Transfer in Porous Media,2021,1,0
Heat and Mass Transfer in Porous Media,2023,1,12
Heat and Mass Transfer in Porous Media,2025,1,0
Heat Transfer and Boiling Studies,1995,1,3
Heat Transfer and Boiling Studies,2011,1,4
Heat Transfer and Boiling Studies,2017,2,6
Heat Transfer and Boiling Studies,2018,1,5
Heat Transfer and Boiling Studies,2021,2,51
Heat Transfer and Optimization,1987,1,7
Heat Transfer and Optimization,2025,1,7
Heat transfer and supercritical fluids,2021,1,10
Heat Transfer Mechanisms,2025,3,7
Heavy Metal Exposure and Toxicity,2011,1,70
Heavy Metal Exposure and Toxicity,2021,2,112
Heavy Metal Exposure and Toxicity,2023,1,3
Heavy metals in environment,2016,1,50
Heavy metals in environment,2018,3,133
Heavy metals in environment,2019,2,12
Heavy metals in environment,2020,1,15
Heavy metals in environment,2021,2,71
Heavy metals in environment,2022,4,49
Heavy metals in environment,2023,3,8
Heavy metals in environment,2024,2,3
Heavy metals in environment,2025,2,11
Hedgehog Signaling Pathway Studies,2025,1,0
Heme Oxygenase-1 and Carbon Monoxide,2021,1,8
Hemodynamic Monitoring and Therapy,2012,1,8
Hemodynamic Monitoring and Therapy,2017,1,13
Hemodynamic Monitoring and Therapy,2025,1,0
Hemoglobin structure and function,2007,1,10
Hemoglobin structure and function,2016,1,4
Hemoglobin structure and function,2020,2,0
Hemoglobin structure and function,2021,1,8
Hemoglobinopathies and Related Disorders,2018,1,0
Hemophilia Treatment and Research,2014,1,14
Heparin-Induced Thrombocytopenia and Thrombosis,2016,1,2
Hermeneutics and Narrative Identity,1990,1,0
Hermeneutics and Narrative Identity,1991,2,0
Hermeneutics and Narrative Identity,1995,2,9
Hermeneutics and Narrative Identity,1996,2,0
Hermeneutics and Narrative Identity,1997,3,14
Hermeneutics and Narrative Identity,1998,1,0
Hermeneutics and Narrative Identity,2003,1,0
Hermeneutics and Narrative Identity,2004,2,0
Hermeneutics and Narrative Identity,2005,1,0
Hermeneutics and Narrative Identity,2007,1,1
Hermeneutics and Narrative Identity,2010,1,0
Hermeneutics and Narrative Identity,2012,2,2
Hermeneutics and Narrative Identity,2013,2,2
Hermeneutics and Narrative Identity,2014,1,0
Hermeneutics and Narrative Identity,2016,1,0
Hermeneutics and Narrative Identity,2021,1,0
Hermeneutics and Narrative Identity,2022,4,1
Hernia repair and management,2024,1,0
Heusler alloys: electronic and magnetic properties,2024,1,4
High Entropy Alloys Studies,2024,4,13
High voltage insulation and dielectric phenomena,2014,1,44
High voltage insulation and dielectric phenomena,2017,1,30
High voltage insulation and dielectric phenomena,2024,1,1
High voltage insulation and dielectric phenomena,2025,2,0
High-Energy Particle Collisions Research,2022,1,0
High-pressure geophysics and materials,1986,2,13
High-pressure geophysics and materials,1988,1,15
High-pressure geophysics and materials,1989,2,40
High-pressure geophysics and materials,1991,1,80
High-pressure geophysics and materials,1992,1,55
High-pressure geophysics and materials,1993,2,33
High-pressure geophysics and materials,1996,1,86
High-pressure geophysics and materials,2004,2,26
High-pressure geophysics and materials,2005,1,42
High-pressure geophysics and materials,2006,2,182
High-pressure geophysics and materials,2007,1,0
High-pressure geophysics and materials,2008,4,209
High-pressure geophysics and materials,2009,2,31
High-pressure geophysics and materials,2010,1,1
High-pressure geophysics and materials,2011,2,461
High-pressure geophysics and materials,2012,1,449
High-pressure geophysics and materials,2013,2,45
High-pressure geophysics and materials,2014,1,243
High-pressure geophysics and materials,2015,8,649
High-pressure geophysics and materials,2016,4,81
High-pressure geophysics and materials,2017,2,243
High-pressure geophysics and materials,2018,3,215
High-pressure geophysics and materials,2019,3,48
High-pressure geophysics and materials,2020,12,382
High-pressure geophysics and materials,2021,21,300
High-pressure geophysics and materials,2022,18,217
High-pressure geophysics and materials,2023,20,130
High-pressure geophysics and materials,2024,12,74
High-pressure geophysics and materials,2025,13,25
High-Temperature Coating Behaviors,1992,1,39
High-Temperature Coating Behaviors,2024,1,0
High-Velocity Impact and Material Behavior,2004,1,127
High-Velocity Impact and Material Behavior,2016,1,1
High-Velocity Impact and Material Behavior,2019,1,2
High-Velocity Impact and Material Behavior,2025,2,0
Higher Education and Employability,2016,1,0
Higher Education Learning Practices,2016,1,0
Hip and Femur Fractures,2025,1,0
Historical and Linguistic Studies,1994,1,1
Historical and Linguistic Studies,2000,1,0
Historical and Linguistic Studies,2018,1,1
Historical Astronomy and Related Studies,2022,1,0
Historical Geography and Cartography,2015,2,0
History and advancements in chemistry,2009,1,5
History and advancements in chemistry,2012,1,33
HIV Research and Treatment,2012,2,15
HIV Research and Treatment,2015,1,4
HIV/AIDS drug development and treatment,2012,2,15
HIV/AIDS drug development and treatment,2015,1,4
HIV/AIDS drug development and treatment,2017,1,7
Homelessness and Social Issues,2003,1,0
Hormonal and reproductive studies,2013,1,0
Hormonal Regulation and Hypertension,1995,1,119
Horticultural and Viticultural Research,2013,1,86
Horticultural and Viticultural Research,2015,2,20
Horticultural and Viticultural Research,2020,1,0
Horticultural and Viticultural Research,2025,1,0
Hospital Admissions and Outcomes,2010,1,0
"Housing, Finance, and Neoliberalism",2003,1,0
Hybrid Renewable Energy Systems,2017,2,140
Hybrid Renewable Energy Systems,2019,2,1
Hybrid Renewable Energy Systems,2021,2,758
Hybrid Renewable Energy Systems,2022,2,314
Hybrid Renewable Energy Systems,2023,6,475
Hybrid Renewable Energy Systems,2024,8,107
Hybrid Renewable Energy Systems,2025,3,15
Hydraulic and Pneumatic Systems,2003,1,7
Hydraulic and Pneumatic Systems,2024,2,2
Hydraulic and Pneumatic Systems,2025,1,7
Hydraulic flow and structures,2022,1,10
Hydraulic Fracturing and Reservoir Analysis,1986,1,324
Hydraulic Fracturing and Reservoir Analysis,1992,1,1
Hydraulic Fracturing and Reservoir Analysis,1993,3,421
Hydraulic Fracturing and Reservoir Analysis,1994,2,35
Hydraulic Fracturing and Reservoir Analysis,1995,1,26
Hydraulic Fracturing and Reservoir Analysis,1997,2,0
Hydraulic Fracturing and Reservoir Analysis,1998,1,36
Hydraulic Fracturing and Reservoir Analysis,2001,5,76
Hydraulic Fracturing and Reservoir Analysis,2002,2,12
Hydraulic Fracturing and Reservoir Analysis,2003,1,4
Hydraulic Fracturing and Reservoir Analysis,2004,1,1
Hydraulic Fracturing and Reservoir Analysis,2005,2,18
Hydraulic Fracturing and Reservoir Analysis,2006,6,146
Hydraulic Fracturing and Reservoir Analysis,2007,5,79
Hydraulic Fracturing and Reservoir Analysis,2008,6,12
Hydraulic Fracturing and Reservoir Analysis,2009,8,319
Hydraulic Fracturing and Reservoir Analysis,2010,21,258
Hydraulic Fracturing and Reservoir Analysis,2011,27,466
Hydraulic Fracturing and Reservoir Analysis,2012,17,305
Hydraulic Fracturing and Reservoir Analysis,2013,30,661
Hydraulic Fracturing and Reservoir Analysis,2014,53,1153
Hydraulic Fracturing and Reservoir Analysis,2015,41,1637
Hydraulic Fracturing and Reservoir Analysis,2016,65,1554
Hydraulic Fracturing and Reservoir Analysis,2017,93,3183
Hydraulic Fracturing and Reservoir Analysis,2018,122,3509
Hydraulic Fracturing and Reservoir Analysis,2019,173,3931
Hydraulic Fracturing and Reservoir Analysis,2020,182,4371
Hydraulic Fracturing and Reservoir Analysis,2021,204,4379
Hydraulic Fracturing and Reservoir Analysis,2022,178,3066
Hydraulic Fracturing and Reservoir Analysis,2023,193,2134
Hydraulic Fracturing and Reservoir Analysis,2024,154,943
Hydraulic Fracturing and Reservoir Analysis,2025,115,221
Hydraulic Fracturing and Reservoir Analysis,2026,13,2
Hydrocarbon exploration and reservoir analysis,1973,1,0
Hydrocarbon exploration and reservoir analysis,1985,1,6
Hydrocarbon exploration and reservoir analysis,1988,1,16
Hydrocarbon exploration and reservoir analysis,1989,6,34
Hydrocarbon exploration and reservoir analysis,1991,2,92
Hydrocarbon exploration and reservoir analysis,1992,1,50
Hydrocarbon exploration and reservoir analysis,1993,1,16
Hydrocarbon exploration and reservoir analysis,1994,1,1
Hydrocarbon exploration and reservoir analysis,1995,2,32
Hydrocarbon exploration and reservoir analysis,1997,1,0
Hydrocarbon exploration and reservoir analysis,1999,1,15
Hydrocarbon exploration and reservoir analysis,2000,1,8
Hydrocarbon exploration and reservoir analysis,2001,1,0
Hydrocarbon exploration and reservoir analysis,2002,1,28
Hydrocarbon exploration and reservoir analysis,2003,1,42
Hydrocarbon exploration and reservoir analysis,2004,3,60
Hydrocarbon exploration and reservoir analysis,2005,4,13
Hydrocarbon exploration and reservoir analysis,2006,5,127
Hydrocarbon exploration and reservoir analysis,2007,5,119
Hydrocarbon exploration and reservoir analysis,2008,7,262
Hydrocarbon exploration and reservoir analysis,2009,7,230
Hydrocarbon exploration and reservoir analysis,2010,12,879
Hydrocarbon exploration and reservoir analysis,2011,15,438
Hydrocarbon exploration and reservoir analysis,2012,11,151
Hydrocarbon exploration and reservoir analysis,2013,23,446
Hydrocarbon exploration and reservoir analysis,2014,34,588
Hydrocarbon exploration and reservoir analysis,2015,34,712
Hydrocarbon exploration and reservoir analysis,2016,33,1099
Hydrocarbon exploration and reservoir analysis,2017,54,1712
Hydrocarbon exploration and reservoir analysis,2018,48,1403
Hydrocarbon exploration and reservoir analysis,2019,89,2182
Hydrocarbon exploration and reservoir analysis,2020,87,1898
Hydrocarbon exploration and reservoir analysis,2021,127,4221
Hydrocarbon exploration and reservoir analysis,2022,133,2836
Hydrocarbon exploration and reservoir analysis,2023,135,1842
Hydrocarbon exploration and reservoir analysis,2024,144,795
Hydrocarbon exploration and reservoir analysis,2025,126,224
Hydrocarbon exploration and reservoir analysis,2026,5,0
"Hydrogels: synthesis, properties, applications",2005,1,40
"Hydrogels: synthesis, properties, applications",2015,1,11
"Hydrogels: synthesis, properties, applications",2017,1,14
"Hydrogels: synthesis, properties, applications",2018,1,33
"Hydrogels: synthesis, properties, applications",2021,1,0
"Hydrogels: synthesis, properties, applications",2025,1,0
Hydrogen embrittlement and corrosion behaviors in metals,2017,1,12
Hydrogen embrittlement and corrosion behaviors in metals,2020,1,55
Hydrogen embrittlement and corrosion behaviors in metals,2022,1,27
Hydrogen embrittlement and corrosion behaviors in metals,2023,3,29
Hydrogen embrittlement and corrosion behaviors in metals,2024,2,88
Hydrogen embrittlement and corrosion behaviors in metals,2025,2,7
Hydrogen Storage and Materials,2016,1,0
Hydrogen Storage and Materials,2022,2,25
Hydrogen Storage and Materials,2023,3,340
Hydrogen Storage and Materials,2024,3,21
Hydrogen Storage and Materials,2025,2,27
Hydrogen's biological and therapeutic effects,2023,2,0
Hydrological Forecasting Using AI,2017,1,4
Hydrological Forecasting Using AI,2021,1,105
Hydrological Forecasting Using AI,2022,7,208
Hydrological Forecasting Using AI,2023,1,28
Hydrological Forecasting Using AI,2024,6,64
Hydrological Forecasting Using AI,2025,1,3
Hydrology and Drought Analysis,2022,1,59
Hydrology and Drought Analysis,2023,2,70
Hydrology and Drought Analysis,2024,1,1
Hydrology and Sediment Transport Processes,2012,1,76
Hydrology and Sediment Transport Processes,2013,1,52
Hydrology and Sediment Transport Processes,2014,2,38
Hydrology and Sediment Transport Processes,2018,2,44
Hydrology and Sediment Transport Processes,2019,1,9
Hydrology and Sediment Transport Processes,2021,3,21
Hydrology and Sediment Transport Processes,2022,1,10
Hydrology and Sediment Transport Processes,2024,1,4
Hydrology and Sediment Transport Processes,2025,1,0
Hydrology and Watershed Management Studies,2005,1,40
Hydrology and Watershed Management Studies,2008,1,21
Hydrology and Watershed Management Studies,2012,1,19
Hydrology and Watershed Management Studies,2015,2,50
Hydrology and Watershed Management Studies,2016,2,10
Hydrology and Watershed Management Studies,2018,3,39
Hydrology and Watershed Management Studies,2019,2,40
Hydrology and Watershed Management Studies,2020,1,10
Hydrology and Watershed Management Studies,2021,3,120
Hydrology and Watershed Management Studies,2022,3,105
Hydrology and Watershed Management Studies,2023,2,70
Hydrology and Watershed Management Studies,2024,5,59
Hygrothermal properties of building materials,2025,1,0
Ichthyology and Marine Biology,1991,1,0
Ichthyology and Marine Biology,2022,3,1
Icing and De-icing Technologies,2017,1,2
ICT Impact and Policies,1999,1,1
Image and Signal Denoising Methods,1994,1,3
Image and Signal Denoising Methods,2008,1,5
Image and Signal Denoising Methods,2010,1,0
Image and Signal Denoising Methods,2011,2,16
Image and Signal Denoising Methods,2015,1,0
Image and Signal Denoising Methods,2017,1,0
Image and Signal Denoising Methods,2019,6,32
Image and Signal Denoising Methods,2020,1,14
Image and Signal Denoising Methods,2021,4,39
Image and Signal Denoising Methods,2022,1,8
Image and Signal Denoising Methods,2023,3,14
Image and Signal Denoising Methods,2025,4,7
Image Processing and 3D Reconstruction,2010,1,0
Image Processing and 3D Reconstruction,2018,1,0
Image Processing and 3D Reconstruction,2020,1,0
Image Processing and 3D Reconstruction,2022,1,0
Image Processing and 3D Reconstruction,2023,2,13
Image Processing and 3D Reconstruction,2024,3,31
Image Processing Techniques and Applications,2019,1,0
Image Processing Techniques and Applications,2022,1,8
Immunodeficiency and Autoimmune Disorders,2025,1,0
Immunotoxicology and immune responses,2013,1,0
Impact of AI and Big Data on Business and Society,2025,1,0
Impact of Light on Environment and Health,2019,1,0
Impact of Light on Environment and Health,2025,1,0
Indigenous Studies and Ecology,2016,1,0
Indonesian Legal and Regulatory Studies,2021,1,14
Indoor and Outdoor Localization Technologies,2011,1,0
Indoor and Outdoor Localization Technologies,2021,1,7
Indoor and Outdoor Localization Technologies,2023,2,28
Induction Heating and Inverter Technology,2011,1,0
Industrial Automation and Control Systems,1986,2,75
Industrial Automation and Control Systems,2009,1,0
Industrial Engineering and Technologies,2002,1,73
Industrial Engineering and Technologies,2023,1,14
Industrial Gas Emission Control,2018,1,28
Industrial Gas Emission Control,2020,1,35
Industrial Gas Emission Control,2021,1,0
Industrial Gas Emission Control,2022,3,266
Industrial Gas Emission Control,2023,2,16
Industrial Gas Emission Control,2024,1,1
Industrial Gas Emission Control,2025,1,0
Industrial Gas Emission Control,2026,1,0
Industrial Vision Systems and Defect Detection,2012,1,3
Industrial Vision Systems and Defect Detection,2023,1,0
Industrial Vision Systems and Defect Detection,2024,1,0
Inertial Sensor and Navigation,2015,4,0
Inertial Sensor and Navigation,2019,1,0
Infections and bacterial resistance,2026,1,0
Infectious Disease Case Reports and Treatments,2024,1,0
Infectious Diseases and Tuberculosis,2025,1,0
Infective Endocarditis Diagnosis and Management,2024,1,1
Infrared Target Detection Methodologies,2015,2,0
Infrastructure Maintenance and Monitoring,2021,1,10
Infrastructure Maintenance and Monitoring,2025,1,3
Infrastructure Maintenance and Monitoring,2026,1,0
Infrastructure Resilience and Vulnerability Analysis,2004,1,4
Injection Molding Process and Properties,2011,1,0
Injection Molding Process and Properties,2016,1,0
Injury Epidemiology and Prevention,2014,1,4
Innovation and Knowledge Management,2008,1,5
Innovation and Knowledge Management,2011,1,9
Innovation and Socioeconomic Development,2011,1,8
Innovations in Concrete and Construction Materials,2020,1,63
Innovations in Concrete and Construction Materials,2021,1,7
Innovations in Concrete and Construction Materials,2022,1,3
Innovations in Concrete and Construction Materials,2024,3,15
Innovations in Concrete and Construction Materials,2025,2,8
Innovations in Medical Education,2015,1,0
Innovative Approaches in Technology and Social Development,2003,1,0
Innovative Approaches in Technology and Social Development,2020,1,0
Innovative concrete reinforcement materials,2014,1,5
Innovative concrete reinforcement materials,2018,2,37
Innovative concrete reinforcement materials,2019,2,46
Innovative concrete reinforcement materials,2020,4,112
Innovative concrete reinforcement materials,2021,1,5
Innovative concrete reinforcement materials,2022,6,202
Innovative concrete reinforcement materials,2023,9,87
Innovative concrete reinforcement materials,2024,4,33
Innovative concrete reinforcement materials,2025,2,8
Innovative Educational Technologies,2023,1,0
Innovative Energy Harvesting Technologies,2017,2,1
Innovative Microfluidic and Catalytic Techniques Innovation,1984,1,2
Innovative Microfluidic and Catalytic Techniques Innovation,2009,1,0
Innovative Microfluidic and Catalytic Techniques Innovation,2014,1,0
Innovative Microfluidic and Catalytic Techniques Innovation,2015,2,13
Innovative Microfluidic and Catalytic Techniques Innovation,2016,1,0
Innovative Microfluidic and Catalytic Techniques Innovation,2017,1,0
Innovative Microfluidic and Catalytic Techniques Innovation,2019,1,70
Innovative Microfluidic and Catalytic Techniques Innovation,2020,2,8
Innovative Microfluidic and Catalytic Techniques Innovation,2021,2,62
Innovative Microfluidic and Catalytic Techniques Innovation,2023,1,6
Innovative Microfluidic and Catalytic Techniques Innovation,2024,1,10
Innovative Teaching and Learning Methods,2024,1,1
Inorganic and Organometallic Chemistry,2005,1,0
Inorganic and Organometallic Chemistry,2011,1,10
Inorganic and Organometallic Chemistry,2017,1,26
Inorganic and Organometallic Chemistry,2024,1,11
Inorganic Chemistry and Materials,2024,1,1
Inorganic Fluorides and Related Compounds,2001,1,23
Inorganic Fluorides and Related Compounds,2006,1,18
Inorganic Fluorides and Related Compounds,2011,1,5
Inorganic Fluorides and Related Compounds,2016,1,215
Inorganic Fluorides and Related Compounds,2022,1,14
Inorganic Fluorides and Related Compounds,2023,2,0
Insect Pest Control Strategies,2023,1,0
Insect Resistance and Genetics,2023,1,0
Insect symbiosis and bacterial influences,2023,1,0
Insurance and Financial Risk Management,2024,1,1
Integrated Circuits and Semiconductor Failure Analysis,2005,2,18
Integrated Circuits and Semiconductor Failure Analysis,2006,2,221
Integrated Circuits and Semiconductor Failure Analysis,2012,2,0
Integrated Circuits and Semiconductor Failure Analysis,2019,1,11
Integrated Energy Systems Optimization,2011,1,84
Integrated Energy Systems Optimization,2013,2,10
Integrated Energy Systems Optimization,2019,1,4
Integrated Energy Systems Optimization,2024,1,2
Integrated Water Resources Management,1992,1,0
Integrated Water Resources Management,2005,1,3
Integrated Water Resources Management,2011,1,0
Intellectual Capital and Performance Analysis,2019,1,0
Intelligent Tutoring Systems and Adaptive Learning,2022,1,3
Intensive Care Unit Cognitive Disorders,2015,2,341
Intensive Care Unit Cognitive Disorders,2016,1,25
Intensive Care Unit Cognitive Disorders,2017,1,3
Intensive Care Unit Cognitive Disorders,2020,1,64
Intensive Care Unit Cognitive Disorders,2022,1,29
Intensive Care Unit Cognitive Disorders,2025,1,0
Intermetallics and Advanced Alloy Properties,1992,1,39
Intermetallics and Advanced Alloy Properties,2020,1,30
International Business and FDI,2009,1,0
Internet of Things and AI,2023,1,28
Intracranial Aneurysms: Treatment and Complications,2016,1,10
Intracranial Aneurysms: Treatment and Complications,2019,1,11
Intraocular Surgery and Lenses,2019,1,3
Intraoperative Neuromonitoring and Anesthetic Effects,2010,1,112
Intraoperative Neuromonitoring and Anesthetic Effects,2011,1,3
Intraoperative Neuromonitoring and Anesthetic Effects,2018,2,26
Intraoperative Neuromonitoring and Anesthetic Effects,2020,1,0
Ion-surface interactions and analysis,2002,2,42
Ion-surface interactions and analysis,2004,1,27
Ion-surface interactions and analysis,2005,2,18
Ion-surface interactions and analysis,2006,1,0
Ion-surface interactions and analysis,2008,1,9
Ion-surface interactions and analysis,2012,1,0
Ion-surface interactions and analysis,2018,1,29
Ionic liquids properties and applications,2014,3,144
Ionic liquids properties and applications,2015,5,182
Ionic liquids properties and applications,2016,2,139
Ionic liquids properties and applications,2017,1,31
Ionic liquids properties and applications,2019,1,78
Ionic liquids properties and applications,2020,1,28
Ionic liquids properties and applications,2021,4,61
Ionic liquids properties and applications,2022,1,22
Ionic liquids properties and applications,2023,3,78
Ionic liquids properties and applications,2024,5,22
Ionic liquids properties and applications,2025,6,31
Ionic liquids properties and applications,2026,2,0
IoT-based Control Systems,2019,1,0
Iron and Steelmaking Processes,2011,1,1
Iron and Steelmaking Processes,2025,1,3
Iron Metabolism and Disorders,2018,1,0
Iron Metabolism and Disorders,2025,1,0
Iron oxide chemistry and applications,2011,1,13
Iron oxide chemistry and applications,2013,1,36
Iron oxide chemistry and applications,2014,1,210
Iron oxide chemistry and applications,2016,4,161
Iron oxide chemistry and applications,2017,1,102
Iron oxide chemistry and applications,2020,1,13
Iron oxide chemistry and applications,2021,3,81
Iron oxide chemistry and applications,2023,3,25
Iron-based superconductors research,2025,1,0
Irrigation Practices and Water Management,2022,1,25
Islamic Studies and History,1998,1,2
Islamic Studies and History,1999,2,1
Islamic Studies and History,2005,1,0
Islamic Studies and History,2006,1,11
Islamic Studies and History,2019,1,1
Islamic Studies and Radicalism,1998,1,3
Island Studies and Pacific Affairs,1988,1,7
Islanding Detection in Power Systems,2019,1,0
Isotope Analysis in Ecology,1985,1,93
Isotope Analysis in Ecology,1987,1,23
